N. MODULO FV;MODELLO;SERIALE;PALLET;PMAX;VPM;IPM;VOC;ISC;FF
1;REC320NP    ;'2007932246               ;L1244751_AAAA             ;321,2966;33,619;9,55698;40,423;10,09394;        
2;REC320NP    ;'2007937089               ;L1244751_AAAA             ;323,1887;33,7061;9,58841;40,3912;10,14544;        
3;REC320NP    ;'2007937125               ;L1244751_AAAA             ;322,311;33,6271;9,58485;40,3265;10,12231;        
4;REC320NP    ;'2007937336               ;L1244751_AAAA             ;322,1052;33,6212;9,58039;40,4537;10,13104;        
5;REC320NP    ;'2007937356               ;L1244751_AAAA             ;321,4493;33,5132;9,5917;40,3158;10,14403;        
6;REC320NP    ;'2007937373               ;L1244751_AAAA             ;323,4083;33,7758;9,57515;40,4697;10,11408;        
7;REC320NP    ;'2007937430               ;L1244751_AAAA             ;323,0172;33,6428;9,60136;40,3693;10,16704;        
8;REC320NP    ;'2007937432               ;L1244751_AAAA             ;322,8823;33,6532;9,59438;40,3947;10,14633;        
9;REC320NP    ;'2007937434               ;L1244751_AAAA             ;322,6746;33,6587;9,58664;40,3805;10,15115;        
10;REC320NP    ;'2007937438               ;L1244751_AAAA             ;321,3004;33,5804;9,56807;40,412;10,13948;        
11;REC320NP    ;'2007937439               ;L1244751_AAAA             ;322,5073;33,6813;9,57525;40,3897;10,13976;        
12;REC320NP    ;'2007937441               ;L1244751_AAAA             ;322,2068;33,6138;9,58553;40,394;10,12899;        
13;REC320NP    ;'2007937443               ;L1244751_AAAA             ;322,8635;33,627;9,60131;40,4283;10,14676;        
14;REC320NP    ;'2007937445               ;L1244751_AAAA             ;322,697;33,7076;9,57341;40,3941;10,11073;        
15;REC320NP    ;'2007937448               ;L1244751_AAAA             ;320,969;33,4649;9,59119;40,2808;10,12373;        
16;REC320NP    ;'2007937462               ;L1244751_AAAA             ;323,03;33,7124;9,58192;40,4062;10,11803;        
17;REC320NP    ;'2007937463               ;L1244751_AAAA             ;323,2794;33,6862;9,59678;40,3866;10,16479;        
18;REC320NP    ;'2007937477               ;L1244751_AAAA             ;322,3895;33,5632;9,60544;40,3529;10,16891;        
19;REC320NP    ;'2007937479               ;L1244751_AAAA             ;323,7494;33,7305;9,5981;40,4428;10,14012;        
20;REC320NP    ;'2007937491               ;L1244751_AAAA             ;321,2711;33,5484;9,57634;40,3736;10,13247;        
21;REC320NP    ;'2007937492               ;L1244751_AAAA             ;322,6716;33,6961;9,57591;40,4258;10,1034;        
22;REC320NP    ;'2007937494               ;L1244751_AAAA             ;323,3389;33,6837;9,59924;40,3191;10,14063;        
23;REC320NP    ;'2007937495               ;L1244751_AAAA             ;322,49;33,6298;9,5894;40,3637;10,12972;        
24;REC320NP    ;'2007937527               ;L1244751_AAAA             ;324,0493;33,7468;9,60235;40,3423;10,13997;        
25;REC320NP    ;'2007937551               ;L1244751_AAAA             ;322,5441;33,6427;9,58733;40,3447;10,12907;        
26;REC320NP    ;'2007937572               ;L1244751_AAAA             ;322,7823;33,6718;9,58611;40,3946;10,13664;        
27;REC320NP    ;'2007937603               ;L1244751_AAAA             ;323,0385;33,7131;9,58198;40,4222;10,12994;        
28;REC320NP    ;'2007937615               ;L1244751_AAAA             ;322,3538;33,6564;9,57776;40,3627;10,10885;        
29;REC320NP    ;'2007937715               ;L1244751_AAAA             ;322,2094;33,572;9,59756;40,3846;10,19294;        
30;REC320NP    ;'2007937732               ;L1244751_AAAA             ;321,5637;33,4604;9,61026;40,048;10,14209;        
31;REC320NP    ;'2007937746               ;L1244751_AAAA             ;322,1968;33,608;9,5869;40,3638;10,13464;        
